date,new_cases,new_deaths,new_tests
31-12-2019,0,0,
01-01-2020,0,0,
02-01-2020,0,0,
03-01-2020,0,0,
04-01-2020,0,0,
05-01-2020,0,0,
06-01-2020,0,0,
07-01-2020,0,0,
08-01-2020,0,0,
09-01-2020,0,0,
10-01-2020,0,0,
11-01-2020,0,0,
12-01-2020,0,0,
13-01-2020,0,0,
14-01-2020,0,0,
15-01-2020,0,0,
16-01-2020,0,0,
17-01-2020,0,0,
18-01-2020,0,0,
19-01-2020,0,0,
20-01-2020,0,0,
21-01-2020,0,0,
22-01-2020,0,0,
23-01-2020,0,0,
24-01-2020,0,0,
25-01-2020,0,0,
26-01-2020,0,0,
27-01-2020,0,0,
28-01-2020,0,0,
29-01-2020,0,0,
30-01-2020,0,0,
31-01-2020,3,0,
01-02-2020,0,0,
02-02-2020,0,0,
03-02-2020,0,0,
04-02-2020,0,0,
05-02-2020,0,0,
06-02-2020,0,0,
07-02-2020,0,0,
08-02-2020,0,0,
09-02-2020,0,0,
10-02-2020,0,0,
11-02-2020,0,0,
12-02-2020,0,0,
13-02-2020,0,0,
14-02-2020,0,0,
15-02-2020,0,0,
16-02-2020,0,0,
17-02-2020,0,0,
18-02-2020,0,0,
19-02-2020,0,0,
20-02-2020,0,0,
21-02-2020,0,0,
22-02-2020,14,0,
23-02-2020,62,2,
24-02-2020,53,0,
25-02-2020,97,4,
26-02-2020,93,5,
27-02-2020,78,1,
28-02-2020,250,5,
29-02-2020,238,4,
01-03-2020,240,8,
02-03-2020,561,6,
03-03-2020,347,17,
04-03-2020,466,28,
05-03-2020,587,27,
06-03-2020,769,41,
07-03-2020,778,49,
08-03-2020,1247,36,
09-03-2020,1492,133,
10-03-2020,1797,98,
11-03-2020,977,167,
12-03-2020,2313,196,
13-03-2020,2651,189,
14-03-2020,2547,252,
15-03-2020,3497,173,
16-03-2020,2823,370,
17-03-2020,4000,347,
18-03-2020,3526,347,
19-03-2020,4207,473,
20-03-2020,5322,429,
21-03-2020,5986,625,
22-03-2020,6557,795,
23-03-2020,5560,649,
24-03-2020,4789,601,
25-03-2020,5249,743,
26-03-2020,5210,685,
27-03-2020,6153,660,
28-03-2020,5959,971,
29-03-2020,5974,887,
30-03-2020,5217,758,
31-03-2020,4050,810,
01-04-2020,4053,839,
02-04-2020,4782,727,
03-04-2020,4668,760,
04-04-2020,4585,764,
05-04-2020,4805,681,
06-04-2020,4316,527,
07-04-2020,3599,636,
08-04-2020,3039,604,
09-04-2020,3836,540,
10-04-2020,4204,612,
11-04-2020,3951,570,
12-04-2020,4694,619,
13-04-2020,4092,431,
14-04-2020,3153,564,
15-04-2020,2972,604,
16-04-2020,2667,578,
17-04-2020,3786,525,
18-04-2020,3493,575,
19-04-2020,3491,480,
20-04-2020,3047,433,7841
21-04-2020,2256,454,28095
22-04-2020,2729,534,44248
23-04-2020,3370,437,37083
24-04-2020,2646,464,95273
25-04-2020,3021,420,38676
26-04-2020,2357,415,24113
27-04-2020,2324,260,26678
28-04-2020,1739,333,37554
29-04-2020,2091,382,38589
30-04-2020,2086,323,41441
01-05-2020,1872,285,43732
02-05-2020,1965,269,31231
03-05-2020,1900,474,27047
04-05-2020,1389,174,22999
05-05-2020,1221,195,32211
06-05-2020,1075,236,37771
07-05-2020,1444,369,13665
08-05-2020,1401,274,45428
09-05-2020,1327,243,36091
10-05-2020,1083,194,31384
11-05-2020,802,165,25823
12-05-2020,744,179,39620
13-05-2020,1402,172,37049
14-05-2020,888,195,41131
15-05-2020,992,262,39027
16-05-2020,789,242,40657
17-05-2020,875,153,33505
18-05-2020,675,145,26101
19-05-2020,451,99,40226
20-05-2020,813,162,38617
21-05-2020,665,161,40644
22-05-2020,642,156,42987
23-05-2020,652,130,42579
24-05-2020,669,119,34206
25-05-2020,531,50,20676
26-05-2020,300,92,33944
27-05-2020,397,78,37299
28-05-2020,584,117,39838
29-05-2020,593,70,38233
30-05-2020,516,87,36051
31-05-2020,416,111,28948
01-06-2020,355,75,18053
02-06-2020,178,60,25628
03-06-2020,318,55,20035
04-06-2020,321,71,27451
05-06-2020,177,88,40470
06-06-2020,518,85,34036
07-06-2020,270,72,27894
08-06-2020,197,53,16301
09-06-2020,280,65,32200
10-06-2020,283,79,37865
11-06-2020,202,71,32991
12-06-2020,379,53,37651
13-06-2020,163,56,32880
14-06-2020,346,78,29545
15-06-2020,338,44,17463
16-06-2020,301,26,27762
17-06-2020,210,34,33957
18-06-2020,328,43,32921
19-06-2020,331,66,28570
20-06-2020,-148,47,29875
21-06-2020,264,49,24581
22-06-2020,224,24,16152
23-06-2020,221,23,23225
24-06-2020,113,18,30237
25-06-2020,577,-31,29421
26-06-2020,296,34,28331
27-06-2020,255,30,29721
28-06-2020,175,8,21183
29-06-2020,174,22,15484
30-06-2020,126,6,28471
01-07-2020,142,23,29325
02-07-2020,182,21,29147
03-07-2020,201,30,25680
04-07-2020,223,15,28946
05-07-2020,235,21,21166
06-07-2020,192,7,13771
07-07-2020,208,8,22490
08-07-2020,137,30,28679
09-07-2020,193,15,29947
10-07-2020,214,12,27251
11-07-2020,276,12,25449
12-07-2020,188,7,23061
13-07-2020,234,9,14006
14-07-2020,169,13,24222
15-07-2020,114,17,28392
16-07-2020,162,13,28089
17-07-2020,230,20,28661
18-07-2020,231,11,27569
19-07-2020,249,14,20621
20-07-2020,218,3,14121
21-07-2020,190,13,23915
22-07-2020,128,15,29288
23-07-2020,280,9,33018
24-07-2020,306,10,28970
25-07-2020,252,5,28059
26-07-2020,274,5,25177
27-07-2020,254,5,19374
28-07-2020,168,5,25341
29-07-2020,202,11,30875
30-07-2020,288,6,33396
31-07-2020,382,3,29686
01-08-2020,379,9,31905
02-08-2020,295,5,24496
03-08-2020,238,8,13467
04-08-2020,159,12,23491
05-08-2020,190,5,29739
06-08-2020,384,10,32169
07-08-2020,401,6,30392
08-08-2020,552,3,26631
09-08-2020,347,13,22773
10-08-2020,463,2,10904
11-08-2020,259,4,22063
12-08-2020,412,6,27330
13-08-2020,476,10,25629
14-08-2020,522,6,24868
15-08-2020,574,3,25937
16-08-2020,629,158,22470
17-08-2020,477,4,21379
18-08-2020,320,4,32687
19-08-2020,401,5,41290
20-08-2020,642,7,49662
21-08-2020,840,6,44943
22-08-2020,947,9,46613
23-08-2020,1071,3,47463
24-08-2020,1209,7,33358
25-08-2020,953,4,45798
26-08-2020,876,4,58054
27-08-2020,1366,13,57640
28-08-2020,1409,5,65135
29-08-2020,1460,9,64294
30-08-2020,1444,1,53541
31-08-2020,1365,4,42583
01-09-2020,996,6,54395
02-09-2020,975,8,
03-09-2020,1326,6,
